Timestamp,datetime,symbol,high,low,open,close,volume,Date,Time,High,Low,Open,Close,TotalVolume
1537884300,2018-09-25 22:05:00,EOSUSDT,5.1681,5.1549,5.1643,5.1614,11390.69,2018-09-25,22:05:00,5.1681,5.1549,5.1643,5.1614,1139069
1537884360,2018-09-25 22:06:00,EOSUSDT,5.1608,5.1564,5.1605,5.1583,9320.0,2018-09-25,22:06:00,5.1608,5.1564,5.1605,5.1583,932000
1537884420,2018-09-25 22:07:00,EOSUSDT,5.1749,5.1546,5.1547,5.1633,24026.5,2018-09-25,22:07:00,5.1749,5.1546,5.1547,5.1633,2402650
1537884480,2018-09-25 22:08:00,EOSUSDT,5.1689,5.1516,5.1628,5.1689,6188.97,2018-09-25,22:08:00,5.1689,5.1516,5.1628,5.1689,618897
1537884540,2018-09-25 22:09:00,EOSUSDT,5.1793,5.1611,5.1639,5.1793,12771.81,2018-09-25,22:09:00,5.1793,5.1611,5.1639,5.1793,1277181
1537884600,2018-09-25 22:10:00,EOSUSDT,5.18,5.16,5.1799,5.1688,11379.23,2018-09-25,22:10:00,5.18,5.16,5.1799,5.1688,1137923
1537884660,2018-09-25 22:11:00,EOSUSDT,5.1775,5.166,5.1733,5.175,8061.22,2018-09-25,22:11:00,5.1775,5.166,5.1733,5.175,806122
1537884720,2018-09-25 22:12:00,EOSUSDT,5.1809,5.1697,5.1743,5.1697,2450.1,2018-09-25,22:12:00,5.1809,5.1697,5.1743,5.1697,245010
1537884780,2018-09-25 22:13:00,EOSUSDT,5.1779,5.1653,5.173,5.1779,1045.38,2018-09-25,22:13:00,5.1779,5.1653,5.173,5.1779,104538
1537884840,2018-09-25 22:14:00,EOSUSDT,5.1847,5.1779,5.1779,5.1835,5844.65,2018-09-25,22:14:00,5.1847,5.1779,5.1779,5.1835,584465
1537884900,2018-09-25 22:15:00,EOSUSDT,5.1894,5.173,5.1839,5.1799,4945.85,2018-09-25,22:15:00,5.1894,5.173,5.1839,5.1799,494585
1537884960,2018-09-25 22:16:00,EOSUSDT,5.1846,5.1789,5.1789,5.1836,3380.47,2018-09-25,22:16:00,5.1846,5.1789,5.1789,5.1836,338047
1537885020,2018-09-25 22:17:00,EOSUSDT,5.19,5.18,5.1824,5.19,4124.08,2018-09-25,22:17:00,5.19,5.18,5.1824,5.19,412408
1537885080,2018-09-25 22:18:00,EOSUSDT,5.1905,5.1852,5.1904,5.1879,7815.33,2018-09-25,22:18:00,5.1905,5.1852,5.1904,5.1879,781533
